ticker,px_chg,eqy_c,val_trade,si_ratio,ev_c,ev_chg,sales_ev,sales2_ev,salesh_ev,ebitda_ev,ebitda2_ev,debt_ev,net_debt_ev,sales_chg_fwd,sales_chg_2fwd,sales_chg_qoq,sales_chg_ltm,ebitda_chg_fwd,ebitda_chg_2fwd
HCAT US Equity,0.033838657,1393.7317,8485016,0.03718131,1977.831753,0.023609376,13.13554239,10.74073819,9.356332388,-0.015420927,-0.011390757,0.027101395,-0.000239656,0.337529092,0.222964581,0.045182177,0.108639063,0.010103488,0.004030171
NXGN US Equity,0.117931034,1059.8403,4568804.5,0.08376915,1091.258372,0.114148213,2.011369328,1.909613831,1.909613831,0.09088865,0.099121347,0.055005305,0.028790615,0.025269619,0.053285903,-0.021693809,-0.002530363,0.022388832,0.008232697
DGII US Equity,0.096227868,400.6644,1635440.875,0.06088801,314.3164435,0.125993812,1.251543716,1.158006121,1.15135738,0.082136969,0.10917978,0,-0.274716776,0.099739015,0.080774698,-0.069916672,-0.004320127,0.035712417,0.02704281
CPSI US Equity,0.123648331,343.0888,3883702.5,0.0631154,472.971802,0.086747625,1.723030244,1.683173673,1.683173673,0.10287294,0.108932498,0.28909123,0.274610451,-0.021079772,0.023679417,-0.043172647,-0.006276241,0.024297432,0.006059558
SNCR US Equity,-0.169376694,272.0681,4543105.5,0.09480656,520.2300965,-0.096366069,1.510834269,1.406027288,1.406027288,0.064779028,0.081950276,0.215706474,0.064705983,0.056758092,0.074541214,-0.116440611,0.003343074,0.193921883,0.017171248
ADBE US Equity,-0.010634231,138199.5623,855074432,0.02633083,138685.7892,-0.010597343,12.40729709,10.52898095,9.542350861,0.036142131,0.043628839,0.029830136,0.003505968,0.237846079,0.178394866,0.032739371,0.053762392,0.013163129,0.007486708
NUAN US Equity,0.022366098,4961.6159,52875576,0.07774128,6199.172662,0.017821521,3.310462812,3.23513864,3.23513864,0.090173323,0.093076936,0.310318184,0.199632607,-0.087276114,0.023283136,0.096717881,-0.000133645,0.070271958,0.002903613
TYPE US Equity,0.002532928,817.6374,10487692,0.01383451,850.628327,0.029330747,3.395721864,3.271647412,3.271647412,0.08946328,0.094929827,0.094934529,0.038784272,0.015251057,0.037924152,0.231326427,0.0105588,0.045693282,0.005466547
AVID US Equity,-0.163826999,274.0587,2026250.625,0.04039059,490.6727122,-0.098637185,1.161814758,1.125396129,1.125396129,0.125847634,0.146737322,0.545310537,0.441463311,0.021900301,0.03236072,-0.044696522,0.000205415,0.054871607,0.020889688
ADSK US Equity,0.036769667,33744.0273,379739456,0.0173127,34908.72772,0.035499327,10.72659513,8.813717209,7.717559895,0.024444689,0.038910986,0.061761059,0.033364149,0.266405557,0.217034183,0.083344663,0.067421869,0.022433731,0.014466296
